label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,2620701a50216dbed0b36851d61b6fca,4.8099,0.105331,0.3950930053187757,0.7547476752565483
direct,26325f047537acd3f155d75bbf62b80,20.1571,0.805732,0.07278125031558612,0.7385207903786523
direct,26979d498a0425b6f51f77a6d7299806,3.1072,0.407129,0.3398188761338994,0.7046509084141056
direct,270e25863ba6098b0a04bc414beaa99,3.691,0.399816,0.023171226499271353,0.3440481988940625
direct,2726971c1ed929eaa733727fd41bdb33,2.9383,0.383533,0.4755726861457165,0.6933651458996773
direct,2731687dd460a263d8eae9bce48bbeed,3.4675,0.586317,0.021797926387771633,0.6699922776419451
direct,27c3e5b2656c50f7cb2a965e75be701c,14.5028,0.631596,0.05414883338664371,0.7259312777369255
direct,27eb79ddf26fd7ac7898580cb9d16864,4.3155,0.773626,0.03718471538930262,0.6689941952025638
direct,280553e975d6b79fd2b12aa6a0f050b3,21.6426,0.72076,0.0759567387176127,0.7305583105167243
direct,283a115028fffe6e4e67e2e8459ebde,21.4095,0.293743,0.22022450706089644,0.6607461203604861
direct,28ec688f444eeb4a394b1e418d5c594,1.4549,0.333216,0.26510164265496905,0.5916988734729752
direct,2902b377edd4b48aa3a0c1cc16d124ad,15.7291,0.433994,0.013193290473166298,0.8105765780968652
direct,2912f56d135e2f97b20cb946bceb58f,15.2247,0.243156,0.3365285165120458,0.757159203770264
direct,292353a763d0870432af7736a533c197,3.4196,0.485256,0.028230427994459534,0.7137484580903298
direct,29aaa8f337632ec125fa9990176f0d5,3.7794,0.454949,0.16682096815061978,0.7682793158289255
direct,29c7615460f943a36ca2b6e5474aad11,45.4081,0.150988,0.13300849282457122,0.7038787674760397
direct,2a3297e263d9931b814465edb1048711,3.4623,0.519102,0.36232434326480467,0.796494841663301
direct,2a89a00cd90ca5b844b1f4461f7a073f,3.9651,0.137922,0.22296349813887725,0.832730475513407
direct,2a8a8ffd2ef41cef20768660cf080d12,3.6393,0.574939,0.24127388348273465,0.7897508614127386
direct,2a9fe1253f9433d1a2651abaf391628e,4.5108,0.060462,0.1850729231446411,0.7151299384927882
direct,2aaf5fe631a855b4de9ff1d2442cc6d1,12.5621,0.57537,0.01473798048779222,0.6829771241766981
direct,2ab4f9bbdc17d9cd618e9d35559b7aa,1.7065,0.438686,0.06683117143865967,0.7609380229821993
direct,2acae4f14a734f4972cf25af66dc82ce,3.7704,0.267048,0.231825049870923,0.8231984880117568
direct,2b25e49c58ae0e292056b4bd5d870b47,5.5484,0.783053,0.045209010801531765,0.6983038283803187
direct,2b3a776ab2c38e3844f57509e473c41a,86.6134,0.546753,0.3886540831134886,0.7969501781487738
direct,2c08b5408a7ee4da98cfd47a860803c5,3.8591,0.575421,0.053253901816921315,0.7496691694405427
direct,2c62b19b80a63f443321831d2245cf06,86.5147,0.51691,0.09377200123085361,0.7391170302192203
direct,2c76c171562f6bdfd4d8765e3910f617,10.6061,0.715593,0.013619938990351636,0.722972507035845
direct,2cb165856db926fd851591e44f18a8a5,4.1943,0.151479,0.1681971234782014,0.7015460208594839
direct,2cebb68aab385306f6fb0164eb28c4c2,4.0832,0.051033,0.09389587155945275,0.5033353619818464
direct,2d1e8858446d1a32d2b12aa6a0f050b3,9.9886,0.53804,0.07116415718671916,0.663963308790905
direct,2d238b5250ab9eb3c55f85313e3bbc89,46.1627,0.58317,0.059869391754445785,0.6945933295846505
direct,2e28fe9594c48874a6eb1dae0394cf12,14.2144,0.437413,0.25651484422320864,0.7787503560247159
direct,2e38fe7e4cd74bec76e9713f57a5fcb6,86.6673,0.63056,0.2193950675953381,0.7714435058862305
direct,2e78dad09566bdcecb2a965e75be701c,3.7529,0.865081,0.05098579703052724,0.7175317648632371
direct,2eacd8302d46093ee138e561e8f9c254,3.6604,0.392985,0.20489306257705983,0.7852160635774315
direct,2eb7069d227393558ea0068b966c5177,2.4409,0.714442,0.04232568451082632,0.565820411566811
direct,2eea9c22b37967006e40121acd58a004,2.8657,0.76467,0.20721307124853666,0.7126915321518562
direct,2f6da348147cad9c3321831d2245cf06,3.6933,0.432466,0.014515918923243906,0.7586379879929789
direct,2f815697256fce5a155b270ed8c04b46,3.5226,0.527493,0.08445978589145539,0.6953008262470298
direct,2ffd2e6d1a55bdf44c3aee8e9d3a6ffa,4.3314,0.511965,0.22107347308889025,0.8197453849355586
direct,303555f1c5f4cb0a1082f2ea630bf69e,3.6133,0.202908,0.06979956359109063,0.6352577177536496
direct,304d18039eb8f78cb362fb9a75ddde8e,3.5684,0.187744,0.17869925616798404,0.6897134933717178
direct,3115a3a0a61aacac59350d819542ec7,3.7737,0.358065,0.31046279550828343,0.7910129759731805
direct,311a3ef41603f86c3f51596dfebf9893,6.2155,0.187083,0.32392502309661103,0.8051779591899095
direct,31227f3fc286c00714c06184923f6962,5.2312,0.181612,0.16152860750259448,0.8546067133858273
direct,31a85a1a9bb22c3bf1e23636310b7e7a,3.9204,0.465045,0.022490943793831545,0.7409715529919316
direct,321f8b85785f082685e443e0ea51d93,2.3733,0.135706,0.3812800368594347,0.734178180212659
direct,3279edef6a631940ea41b93204b74265,3.8212,0.453309,0.15245362518333777,0.7929163441664034
direct,32a9329c11b5c35d4b3c42e318f3affc,3.4843,0.488813,0.2136778603434259,0.8122717812770267
direct,32d06518fd07df9bcf004563556ddb36,86.6151,0.615245,0.22212237347385572,0.7560219619819845
direct,33ec57af7f648994da5feafe6f1c8fc,2.5964,0.12013,0.31523942473475736,0.7525240644800381
direct,3475657660a798a155590b0eedbb2f18,2.9514,0.099372,0.3688425883530171,0.65513157923711
direct,35462b6ea0597bf555e8ddeaf1791474,5.6499,0.330005,0.1633846004027961,0.6766929051627688
direct,35617fd7ece26150ffc6e457221b9271,3.4694,0.40707,0.21610015968259777,0.8093897456287068
direct,359b6d3d29b08dfe19fb4103277a6b93,33.3349,0.379708,0.10917095603568948,0.7554464064688334
direct,35a0ea7e7f9eac13321831d2245cf06,86.6765,0.639613,0.003715566085641183,0.39257503839499747
direct,35f6e6a770258328c7667da8fd923578,86.57,0.705998,0.3530163987221113,0.35797364240439566
